feature,JS_divergence,Wasserstein
NSFWOsn,0.12071466067132285,0.029790059918735998
NSFWOb,0.44789870815714816,0.0963618000787566
N2SFWO,0.5612100501942765,0.039264814116148045
N2SFWOsn,0.18093419766848362,0.03395490172081769
N2SFWOb,0.5478973963578534,0.16789328213465318
NSNO,0.12960068993526813,0.0012697202192191294
NSNOsn,0.2942166087163182,0.021623395480232545
NSNOb,0.13982044840000765,0.01663226900293871
N2SNO,0.16726260105800023,0.001537313245160163
N2SNOsn,0.2140788020750418,0.013265612595947763
N2SNOb,0.16354862152881483,0.016496177863820103
NSVO,0.32696509160099513,0.0020443044336528973
NSVOsn,0.12289089266190832,0.003326527337421568
NSVOb,0.25437956929267275,0.02314115269950424
N2SVO,0.44642598606687584,0.003964791532019608
N2SVOsn,0.14845741995970674,0.0036921589057939148
N2SVOb,0.37511377193669476,0.051535794163208325
NSAO,0.1044425447842668,0.00016647660223343826
NSAOsn,0.19120471141074785,0.002669011606841668
NSAOb,0.09514081945964838,0.00240981862136438
N2SAO,0.19890515441002593,0.0005237784713883086
N2SAOsn,0.10098316589160981,0.0013151279922074405
N2SAOb,0.1315500336382303,0.0056261408553870546
NSAdvO,0.24560303682071247,0.0006700183337247417
NSAdvOsn,0.11817185321481326,0.000990633212539233
NSAdvOb,0.20865590979341694,0.007558733046577374
N2SAdvO,0.3543783610138811,0.0012902733602141573
N2SAdvOsn,0.15710615361241534,0.0015351116497409046
N2SAdvOb,0.2937767306259589,0.018459151935938844
NSPO,0.5443961054646357,0.013749758928903228
NSPOsn,0.10701843729183237,0.008215250049185968
NSPOb,0.49135904886945025,0.12734685717543537
N2SPO,0.5979917650766862,0.018666174033050258
N2SPOsn,0.31777982380593517,0.026369649969369618
N2SPOb,0.5705164556620956,0.17876304096762366
NSARGO,0.48942493887985916,0.012758426516135943
NSARGOsn,0.11144249956215323,0.014582913759543185
NSARGOb,0.44127642072480266,0.1015636144805317
N2SARGO,0.5425121398037559,0.019870117940842973
N2SARGOsn,0.16881089030092306,0.01431560848048719
N2SARGOb,0.5470281130822062,0.16062947959587323
AD,0.26114193278877246,0.0032090482024365262
AVD,0.23753621062940572,0.0035335751223556492
CAUSD,0.2730683544254993,0.002422855292474055
COND,0.2821968408601308,0.006027028338785152
DEMD,0.12224686758520427,0.0009978525323157674
LOGD,0.17099721642043428,0.002132520850100235
NEGD,0.13453519587994925,0.000812176140327202
POSD,0.2644372182996986,0.005274607938740483
BCD,0.23422721004976377,0.0040492677077357785
CD,0.2838113999355369,0.0036630908752287
CCD,0.2091681194137901,0.0013792698398185754
DETD,0.28205191675840996,0.006642540039950369
DD,0.09674002050789854,0.000311672014456613
LSD,0.2083710548952245,0.002281963676764077
negLOGD,0.15082850614540208,0.0008105047313645407
OPPD,0.1426496802509138,0.0007249777224111046
ORDD,0.11446055430353985,0.00030214489497234435
posCAUSD,0.1436577352309111,0.0015608357508973825
posID,0.24441610946349357,0.0018527195997515965
posLOGD,0.14864976999743343,0.0014139233944880222
RPD,0.2673241307913163,0.002101300094984702
SLD,0.1932931938552497,0.0023841332820261664
TD,0.15214078989403163,0.0008077268676460645
ARI,0.09253393377133734,0.21757156654998627
DCI,0.2134641600649315,0.28499262194653785
DCIpsk,0.19435409790808042,0.19440910879330722
CLI,0.119351772916734,0.25764378961753354
FKRE,0.1527352175433629,0.31707103041365803
FKGL,0.1301303595296511,0.9863908561996672
FORCAST,0.14550241292830637,0.10219594454472132
FryX,0.10916680687463295,0.6873569298791924
FryY,0.13536712961754885,0.6436768828782299
GFI,0.17904911903543777,0.420696184961361
LIX,0.13494595027334388,0.7281820922017967
RIX,0.1385458131135698,0.1139257087840011
SMOG,0.17362803695693507,0.29145817521952766
SPACHE,0.16848403450578847,0.09166174474503977
WFCOCAw,0.1968766010827234,1.0065901859483084
T10KCOCAw,0.3776798762294371,0.02284935886717843
T20KCOCAw,0.37653187577517916,0.019090143159345405
T30KCOCAw,0.3719422022373513,0.016735376734436397
T40KCOCAw,0.3662271760095491,0.015287219004589415
T50KCOCAw,0.35559707857335826,0.014136738807593283
T60KCOCAw,0.3640376255929554,0.013294769613941106
T70KCOCAw,0.36673055106870167,0.012624290706118216
T80KCOCAw,0.3602978028659537,0.012079136345052973
T90KCOCAw,0.38508670382437965,0.012131917017484931
T100KCOCAw,0.38184734739669096,0.011684685752722072
WFCOCAs,0.1888402984041991,0.18151567848020783
T10KCOCAs,0.38545051506722816,0.02545031873949795
T20KCOCAs,0.38744532372452395,0.021858242056644443
T30KCOCAs,0.3933907148996446,0.02045089484074438
T40KCOCAs,0.3832209567051874,0.018546322396494824
T50KCOCAs,0.3865921194410888,0.01770138542440798
T60KCOCAs,0.38220115183161835,0.01666072905811378
T70KCOCAs,0.3826043841545995,0.015947015480542358
T80KCOCAs,0.3747939040456609,0.015310315272217722
T90KCOCAs,0.40712930920354873,0.01583941856466611
T100KCOCAs,0.4108974429224522,0.01546702722058706
WRCOCAw,0.2880166273093395,0.5561347726610986
SDCOCAw,0.19830304985697425,0.5302712578736242
VCCOCAw,0.3841860256191278,2.6579495940540077
JDCOCAw,0.37594377957995456,0.010758464902110739
CDCOCAw,0.3870315151358189,0.01828626034185158
RSCOCAw,0.2938102808962211,0.08858302137416081
DPCOCAw,0.2902260062840861,0.029125186745480695
DPCOCAwnorm,0.2902260062840861,0.029125146905579668
KLDCOCAw,0.3908800788773878,0.24424848125047782
WRCOCAs,0.3364047733493319,0.11875567105162231
SDCOCAs,0.21088701667266369,0.5417199381873388
VCCOCAs,0.3116372495851921,1.034559370922873
JDCOCAs,0.40765739814512797,0.0183609231622097
CDCOCAs,0.40582634392381206,0.02437526639883278
RSCOCAs,0.33720125895777237,0.027386231053242928
DPCOCAs,0.13145650591236346,0.002135592063468305
DPCOCAsnorm,0.1314565059123634,0.00213565492403898
KLDCOCAs,0.30022341414744086,0.17738967742173672
WFCOCAa,0.22550442561349313,0.3268540128554528
T10KCOCAa,0.32646958689352823,0.02290539806500104
T20KCOCAa,0.33796648462704226,0.0198514254497927
T30KCOCAa,0.3388523586331032,0.017823168283837884
T40KCOCAa,0.3333037032590333,0.01641570587973555
T50KCOCAa,0.3359760412137411,0.015484183039824366
T60KCOCAa,0.35346261936486567,0.015342830432225419
T70KCOCAa,0.3474301894007567,0.014803488322904934
T80KCOCAa,0.3519882998822153,0.014298398022368323
T90KCOCAa,0.33982313550917675,0.013681040219127423
T100KCOCAa,0.3526933599018102,0.01365310182783786
WRCOCAa,0.2474776330270887,0.0390059334145765
SDCOCAa,0.2131475592180916,0.9474838837394712
VCCOCAa,0.3081763401344287,0.9423119376597777
JDCOCAa,0.36854434310661105,0.014935348694121704
CDCOCAa,0.34785536533870176,0.01822931029188988
RSCOCAa,0.2116405064300707,0.011637956708225783
DPCOCAa,0.17588564557611586,0.002656617133635474
DPCOCAanorm,0.17588564557611586,0.0026565316003661207
KLDCOCAa,0.2460639655883303,0.129172449170273
WFtv,0.4056888290457737,0.375776748161652
WFsm,0.40183158978305894,0.3562421039460588
WFpod,0.41949241449675884,0.35262241267961486
WFml,0.4065810622443139,0.37954762827186783
CDpod,0.4217334981093469,0.2992675476544159
CDtv,0.41884679076293274,0.31251354006262344
CDsm,0.39194588441538203,0.2644829059780734
WPtv,0.42270730363059383,0.26034394387737864
WPpod,0.41941201609323914,0.22587005329267923
WPsm,0.39157436585954014,0.25603317540813914
AUX,0.16140819717787122,0.05754303851135456
QUANTcn,0.1532684293893042,0.007054618129542365
CONJscaus,0.28435121116364837,0.034818018449332744
PREPc,0.1676352540219503,0.004119317799351464
CONJscom,0.14566526140727917,0.01019822932249295
CONJscond,0.08835383240655831,0.005852953076738858
CONJ,0.26906875773146843,0.14812238921678467
CONJc,0.2816693032585196,0.08117481518057454
DETda,0.23897367827813312,0.09767814289664399
DETdem,0.15335534680766394,0.023004765327986895
DETdemp,0.09794820269399776,0.002736067447661649
DETdems,0.1628374727666644,0.023984713760495928
DET,0.20746131587634126,0.17384725442473092
QUANTfn,0.09331934333698289,0.0021821622333709533
PRNi,0.09758988857638305,0.009176858714078617
PRNip,0.11134828446614362,0.0017589986182926362
PRNis,0.10758501206822785,0.008928798781435352
QUANTi,0.06185294973986972,0.008833897184406957
DETia,0.145974636971863,0.022057052873545018
CONJsm,0.11188815057832983,0.00475948001951252
QUANTmn,0.11289988955200601,0.000752715786624378
NEG,0.19770775130545906,0.018599310673773142
QUANTn,0.1319466135514118,0.0058553533420038105
QUANTon,0.04100997444045904,0.0020730094180796527
PRNp,0.3665003638776524,0.23178722631297854
PRNp1p,0.2239823176863868,0.011703147625875153
PRNp1s,0.2991861338499726,0.12996966032663532
PRNp2,0.09773049826461991,0.01825508367855749
PRNp3p,0.15400767241570926,0.010373021471756031
PRNp3s,0.2810466164433184,0.06940829830401382
CONJsp,0.10322774979762589,0.0016021184855186735
PRNposs,0.47167448834792824,0.110569871270605
PRNposs1p,0.2559058821536887,0.005649580251582451
PRNposs1s,0.39240344589959325,0.06387952520281757
PRNposs2,0.19526402364742598,0.01453148252981687
PRNposs3p,0.15630277809557666,0.0060438591691800644
PRNposs3s,0.25578945404113196,0.026049851053009093
