feature,JS_divergence,Wasserstein
EMOgri,0.5106638799136111,0.051088230569337575
EMOjoy,0.2716041215463855,0.009802579326669766
EMOloa,0.28130285090865687,0.007603004380059369
EMOlov,0.36238267292070747,0.029682661176679802
EMOmel,0.4112906491520103,0.01747657745981422
EMOple,0.29179761505144886,0.01184736255483777
EMOrag,0.32604824793926984,0.010635378573939917
EMOres,0.3017611091892231,0.014283081381279185
EMOsad,0.4175211574728714,0.02291586508194163
EMOser,0.2762127392938331,0.014409783260177368
EMOsur,0.33519620336921835,0.015684178906541828
EMOter,0.48252916111396366,0.021235344606506043
EMOtru,0.2696129573841419,0.022110418813993532
